Unnamed: 0,MSE,PSNR,NMI,SSIM,Site,Session,SoftwareVersion,Temperature
0.0,0.0028285530014608,32.6137964963288,1.4547205092092033,0.9761896449515828,,,,
0.0,0.0024130792968679,33.74787687326591,1.4706868457065825,0.983176562935,,,,
0.0,0.0025515302438459,34.56351004791501,1.484852239930651,0.9829969678287296,,,,
0.0,0.0031866198317119,32.4107830082246,1.4506196077324156,0.9769113075493278,,,,
,0.002653755498198,34.34144567285008,1.4773440039398085,0.9841151163018588,137-0020,2024-03-21 11_10_58,8.7.0,20.0
,0.002897234100158,33.69147739311694,1.4671986052270805,0.9823139449085756,137-0020,2024-03-25 16_04_54,8.7.0,22.0
,0.0038131614692823,33.655031680502816,1.4600768512869584,0.9726921780504316,137-0020,2024-03-22 12_15_26,8.7.0,24.0
,0.0028343439178995,33.72823374002144,1.468517085352896,0.9830842153529918,137-0020,2024-03-26 15_06_50,8.7.0,22.0
,0.0028758385248002,33.657537389430416,1.4676109571778584,0.9829170270445248,137-0020,2024-03-27 09_36_28,8.7.0,24.0
,0.0027808037296444,33.26935684713288,1.4636596158184405,0.9833862488813646,137-0020,2024-03-28 10_05_59,8.7.0,24.0
,0.0025696322075054,33.735240483790434,1.4707300776165473,0.9842360751936188,137-0020,2024-04-02 11_56_56,8.7.0,26.0
,0.0028624053997859,33.61194423903265,1.466475588782309,0.9825869977004632,137-0020,2024-03-20 16_11_28,8.7.0,22.0
,0.0026668078876411,33.63861323263497,1.4696357494849686,0.9836144446575876,137-0020,2024-04-03 14_43_47,8.7.0,24.0
,0.00246597814339,33.55989679168125,1.4698529966995897,0.9847947962323806,137-0020,2024-04-09 11_04_36,8.7.0,28.0
,0.0025808518085942,33.34975748226704,1.466107036338775,0.9842474076374024,137-0020,2024-04-10 08_59_59,8.7.0,26.0
,0.0028220306638578,33.608393636938025,1.4674077840844892,0.9826834983242296,137-0020,2024-04-12 10_50_43,8.7.0,22.0
,0.0028516606559789,33.76690540363456,1.4684517869232985,0.9831782796319308,137-0020,2024-04-16 15_26_38,8.7.0,22.0
,0.0027758452488934,34.16884545438451,1.4735118901562294,0.9833869423760132,137-0020,2024-04-17 15_30_58,8.7.0,20.0
,0.0026914333794677,34.01362628476656,1.4733839814308598,0.98382907780983,137-0020,2024-04-18 14_47_39,8.7.0,22.0
,0.0027067138320742,34.86961628722047,1.4827539467032025,0.9840827478220432,137-0020,2024-04-19 16_10_29,8.7.0,21.0
,0.002827499256046,33.72866894920116,1.4687997481976365,0.982496542267716,137-0020,2024-04-22 11_05_48,8.7.0,26.0
,0.0028272515150524,33.804826027453664,1.4700398239043508,0.98218439932768,137-0020,2024-04-29 14_28_53,8.7.0,
,0.0027825450548463,34.20571416566152,1.4753600274185512,0.983242026993428,137-0020,2024-05-14 12_41_44,8.7.0,22.0
,0.0027271859022251,33.620415073780656,1.4685462435373702,0.9833320884038006,137-0020,2024-05-15 10_10_26,8.7.0,24.0
,0.0026494054899391,33.961479994649466,1.473220055285405,0.9838001886376084,137-0020,2024-05-16 09_26_06,8.7.0,26.0
,0.0027762382599969,33.56143155072432,1.4669176923342284,0.9828910210334846,137-0020,2024-05-17 08_30_32,8.7.0,24.0
,0.0027915767821702,33.40813254586574,1.4647200333273582,0.9831988756639932,137-0020,2024-06-03 14_50_51,8.7.0,24.0
,0.0025291311852732,34.68997162037204,1.4823285020715995,0.9849529203726518,137-0020,2024-06-04 09_13_16,8.7.0,24.0
,0.0030426936016538,33.61725439490026,1.4646170711137625,0.9817441593792108,137-0020,2024-06-11 14_00_11,8.7.0,22.0
0.0,0.0046273801663455,30.92873203168714,1.421286783631312,0.9641223137111262,,,,
